"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_2","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_3","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_4","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea"
"ASV_5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_6","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella"
"ASV_8","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_9","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_10","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_12","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_13","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV_14","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_15","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"ASV_16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"ASV_17","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"ASV_19","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptonema"
"ASV_20","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","BBMC-4",NA
"ASV_21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"ASV_22","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium"
"ASV_23","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_24","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"ASV_25","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles"
"ASV_26","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_27","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"ASV_28","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_29","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"ASV_30","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"ASV_31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_32","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ASV_34","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangium"
"ASV_35","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ASV_36","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Candidatus Nitrotoga"
"ASV_37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_38","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","BBMC-4",NA
"ASV_39","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_40","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_41","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles"
"ASV_42","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_43","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"ASV_44","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_45","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"ASV_46","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Lapillicoccus"
"ASV_47","Bacteria","MBNT15",NA,NA,NA,NA
"ASV_48","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","[Cytophaga] xylanolytica group"
"ASV_49","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_50","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_51","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_52","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"ASV_53","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"ASV_54","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_55","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA
"ASV_56","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio"
"ASV_57","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_58","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_59","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_60","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio"
"ASV_61","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"ASV_62","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_63","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA
"ASV_64","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV_65","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA
"ASV_66","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_67","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_68","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_69","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_70","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_71","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"ASV_72","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azonexus"
"ASV_73","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_74","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_75","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus Methylospira"
"ASV_76","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_77","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_78","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_79","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_80","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"ASV_81","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Candidatus Accumulibacter"
"ASV_82","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_83","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","BBMC-4",NA
"ASV_84","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_85","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_86","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"ASV_87","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"ASV_88","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus"
"ASV_89","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_90","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"ASV_91","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA
"ASV_92","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio"
"ASV_93","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"ASV_94","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_95","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_96","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","[Cytophaga] xylanolytica group"
"ASV_97","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_98","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_99","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis"
"ASV_100","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_101","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_102","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia"
"ASV_103","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA
"ASV_104","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_105","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
"ASV_106","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV_107","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","BBMC-4",NA
"ASV_108","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_109","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_110","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA
"ASV_111","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA
"ASV_112","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"ASV_113","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"ASV_114","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae",NA
"ASV_115","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_116","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_117","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_118","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_119","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"ASV_120","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Pleomorphomonas"
"ASV_121","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_122","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_123","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_124","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV_125","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ciceribacter"
"ASV_126","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV_127","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_128","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_129","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"ASV_130","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Ancalomicrobiaceae","Ancalomicrobium"
"ASV_131","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_132","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
"ASV_133","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae","Chitinimonas"
"ASV_134","Bacteria","MBNT15",NA,NA,NA,NA
"ASV_135","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_136","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_137","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_138","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira-Sulfurivermis"
"ASV_139","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_140","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_141","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA
"ASV_142","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_143","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_144","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_145","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_146","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
"ASV_147","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfurifustis"
"ASV_148","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"ASV_149","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Ferribacterium"
"ASV_150","Bacteria","MBNT15",NA,NA,NA,NA
"ASV_151","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus Methylospira"
"ASV_152","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_153","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA
"ASV_154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"ASV_155","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis"
"ASV_158","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ASV_159","Bacteria","Nitrospirota","4-29-1",NA,NA,NA
"ASV_160","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_161","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_162","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_163","Bacteria","MBNT15",NA,NA,NA,NA
"ASV_164","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_165","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV_166","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA
"ASV_167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_168","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_169","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter"
"ASV_170","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ASV_171","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylobacillus"
"ASV_172","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_173","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_174","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_175","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA
"ASV_176","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_177","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_178","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_179","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_180","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV_181","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"ASV_182","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_183","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"ASV_184","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_185","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_186","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Pleomorphomonas"
"ASV_187","Bacteria","Chloroflexi","NLS2-31",NA,NA,NA
"ASV_188","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae",NA
"ASV_189","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_190","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_191","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","M2PT2-76 termite group"
"ASV_192","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",NA
"ASV_193","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ASV_194","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"ASV_195","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_196","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_197","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ASV_198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylosinus"
"ASV_199","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_200","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV_201","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2"
"ASV_202","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_203","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_204","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"ASV_205","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella"
"ASV_206","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_207","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_208","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV_209","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_210","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_212","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia"
"ASV_213","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"ASV_214","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA
"ASV_215","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_216","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_218","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_219","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_220","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_221","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_222","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_223","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio"
"ASV_224","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_225","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV_226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_227","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_228","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mycoplana"
"ASV_229","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_230","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV_231","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_232","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptonema"
"ASV_233","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Mitsuaria"
"ASV_234","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hylemonella"
"ASV_235","Bacteria","Chloroflexi","NLS2-31",NA,NA,NA
"ASV_236","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_237","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_238","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax"
"ASV_239","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_240","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_241","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus"
"ASV_242","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA
"ASV_243","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA
"ASV_244","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA
"ASV_245","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_246","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"ASV_247","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"ASV_248","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae",NA
"ASV_249","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_250","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"ASV_251","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group"
"ASV_252","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea"
"ASV_253","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17",NA
"ASV_254","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_255","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Phreatobacter"
"ASV_256","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
